reg;Safra 13/14;Safra 14/15;Safra 15/16;Safra 16/17;Safra 17/18;Safra 18/19;Safra 19/20;Safra 20/21
NORTE/NORDESTE;751,6;715,4;415,5;809,7;719,3;735,9;934,9;701,3
CENTRO-SUL;2702,1;2494,8;2097,4;2589,8;2396,8;2281,8;2287,2;2154,8
